Anime,Season,Anime Type,Episodes,Genres,Description,Characters,Recommendations
Sword Art Online: Alicization - War of Underworld Reflection,nan,Special,1,"Aksi, Permainan Video","Recap of Sword Art Online: Alicization, aired one week before Sword Art Online: Alicization - War of Underworld.","Kirigaya, Kazuto; Yuuki, Asuna; Zuberg, Alice; Eugeo; Asada, Shino; Yui; Kirigaya, Suguha; Shinozaki, Rika; Quinella; Cardinal","Goblin Slayer: Bouken Kiroku Youshi - Adventure Sheet, Sword Art Online: Alicization - War of Underworld, Shingeki no Kyojin: Chronicle, Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna - Manner Movie, Sword Art Online: Alicization - War of Underworld Recap, Sword Art Online Fatal Bullet: The Third Episode, Kono Yo no Hate de Koi wo Utau Shoujo YU-NO Recap, Code Geass: Fukkatsu no Lelouch Picture Drama, Arifureta Shokugyou de Sekai Saikyou Recap, Boku no Hero Academia the Movie 1: Futari no Hero Specials, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya, Fairy Gone Part 2, Shingeki no Kyojin: Ano Hi Kara, Sword Art Online: Alicization, Hataage! Kemono Michi, Maou-sama, Retry!"
Ore wo Suki nano wa Omae dake ka yo: Ore wa Teinei ni Susumeru,nan,Special,1,"Komedi, Sekolah",Recap of the first nine episodes of Ore wo Suki nano wa Omae dake ka yo.,"Sanshokuin, Sumireko; Kisaragi, Amatsuyu; Akino, Sakura; Hinata, Aoi; Mayama, Asaka; Hanetachi, Hina; Youki, Chiharu; Ooga, Taiyou; Kamata, Kimie; Kusami, Luna","Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e PV, Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set, Bokutachi wa Benkyou ga Dekinai! Chapel no Kane wa [X] wo Shukufuku Suru, Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow - Manner Movie, Kono Yo no Hate de Koi wo Utau Shoujo YU-NO Recap, Shokugeki no Souma: Shin no Sara, Curry Meshi x Zombieland Saga, Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!, Kandagawa Jet Girls, Date A Bullet: Dead or Bullet, Kono Yo no Hate de Koi wo Utau Shoujo YU-NO: Mugen no Heiretsu Sekai, Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru, Null Peta, Arifureta Shokugyou de Sekai Saikyou Recap, Arifureta Shokugyou de Sekai Saikyou Specials, Seitokai Yakuindomo Movie 2"
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Recap,nan,Special,1,Aksi,"Recap of first nine episodes of Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru.
","Ryuuguuin, Seiya; Ristarte","Shinmai Maou no Testament Specials, Ore wo Suki nano wa Omae dake ka yo, One Punch Man 2nd Season Commemorative Special, Overlord: Oukoku no Kan-tachi - Drama CD-tsuki Tokusou-ban, Arifureta Shokugyou de Sekai Saikyou Specials, Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu, Toaru Kagaku no Accelerator: Tobidase Ippou-san - Hachamecha Kaishingeki, Overlord: Ple Ple Pleiades 2, Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow - Manner Movie, Shokugeki no Souma: Shin no Sara, Overlord Movie 1: Fushisha no Ou, Sword Art Online: Alicization - War of Underworld Reflection, Super Senko-san Time Episode 12, Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set, Sword Art Online Fatal Bullet: The Third Episode, Phantasy Star Online 2: Episode Oracle - Xiao's Report"
Code Geass: Fukkatsu no Lelouch Picture Drama,nan,Special,2,Komedi,Picture drama included in the Code Geass: Fukkatsu no Lelouch Blu-ray/DVD release.,"Lamperouge, Lelouch; C.C.; Stadtfeld, Kallen; Lamperouge, Nunnally; Alstreim, Anya; Sumeragi, Kaguya; Einstein, Nina","Robot Atom, Hangyakusei Million Arthur: Saraba Itoshi no Danchou, Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama, Osomatsu-san Movie: Gekijou Koukai Kinen - Original Tanpen Gekijou, Go! Go! Atom, Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna - Manner Movie, Sword Art Online Fatal Bullet: The Third Episode, Mobile Suit Gakuen: Kaette Kita G-Reco Koushien, Code Geass: Hangyaku no Lelouch I - Koudou, Psycho-Pass 3, Code Geass: Hangyaku no Lelouch - Kiseki no Birthday, Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara Picture Drama, Haikyuu!! (OVA), Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future, Newsong, Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna"
Toaru Kagaku no Accelerator: Tobidase Ippou-san - Hachamecha Kaishingeki,nan,Special,1,"Supranatural, Kekuatan Super",Special included on the first Blu-ray/DVD volume of Toaru Kagaku no Accelerator.,"Accelerator; Last Order; MISAKA 10032; Rosenthal, Esther; MISAKA 10046","Umayon, Ikkyuu-san, Strike Witches: 501 Butai Hasshin Shimasu! Movie, Santa Company: Christmas no Himitsu, Bokura no Nanokakan Sensou, Toaru Kagaku no Railgun S: Motto Marutto Railgun, Terrace House x Craft Boss, Youjo Senki Movie: Manner Eizou, Tenka Hyakken: Meiji-kan e Youkoso!, Toaru Majutsu no Index-tan III, Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna, Fate/strange Fake PV, Strike the Blood IV, Granblue Fantasy The Animation Season 2, Kandagawa Jet Girls, Rifle Is Beautiful"
Fate/Grand Order: Zettai Majuu Sensen Babylonia Recaps,nan,Special,3,Aksi,Recap episodes for Fate/Grand Order: Zettai Majuu Sensen Babylonia.,,"Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram, Fate/kaleid liner Prisma☆Illya, Love Live! School Idol Festival All Stars, Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly, Fate/stay night Movie: Heaven's Feel - I. Presage Flower, Fate/stay night Movie: Heaven's Feel - III. Spring Song, , Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna - Manner Movie, Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana Recap, Ken to Mahou no Logres: Inishie no Megami x Fate/Extella, Fate/kaleid liner Prisma☆Illya Specials, Tokimeki Runners, Fate/Grand Order: Zettai Majuu Sensen Babylonia, Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon, Momoya x Peeping Life: Go en Desu yo! II, God Eater Reso Nantoka Gekijou: Episode EX"
Kono Yo no Hate de Koi wo Utau Shoujo YU-NO: Mugen no Heiretsu Sekai,nan,Special,1,Drama,Unaired episode included with the third Blu-ray volume. ,"Arima, Takuya; Takeda, Eriko; Yu-no; Hatano, Kanna; Shimazu, Mio; Arima, Ayumi; Ichijou, Mitsuki; Asakura, Kaori; Ryuuzouji, Kouzou; Arima, Keiko","Mugyutto! Black Clover, Human Lost: Ningen Shikkaku, Rifle Is Beautiful: Zengoku Daikai Is Mokuzen, Z/X: Code Reunion, Koi to Senkyo to Chocolate: Ikenai Hazuki-sensei, Sword Art Online: Alicization - War of Underworld Reflection, The iDOLM@STER Cinderella Girls: Spin-off!, Plunderer, Tsugu Tsugumomo, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future, Sagashimono (ONA), One Punch Man 2nd Season Specials, Maou-sama, Retry!, Phantasy Star Online 2: Episode Oracle - Xiao's Report, Arifureta Shokugyou de Sekai Saikyou Specials, Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna"
Curry Meshi x Zombieland Saga,nan,Special,1,"Supranatural, Musik","Do zombies like curry? Do they even need to eat?

Well, girls from the idol group Franchouchou fall in love with Nissin Food's new instant Curry Meshi and take part in an Indian-themed advertisement, expressing their fondness for this sweet and savory delicacy through their songs.

[Written by MAL Rewrite]
",,"Curry Meshi in Miracle, Kono Yo no Hate de Koi wo Utau Shoujo YU-NO: Mugen no Heiretsu Sekai, Starmyu 3rd Season: Encore, Lupin III: Prison of the Past, Haishin Yuusha, Poputepipikku Specials, Super Senko-san Time Episode 12, Start, Bobunemimimmi Specials, Jigoku Shoujo Recap, Rifle Is Beautiful: Zengoku Daikai Is Mokuzen, Toaru Kagaku no Accelerator: Tobidase Ippou-san - Hachamecha Kaishingeki, One Punch Man 2nd Season Specials, Kaigo to Ikiru, Hangyakusei Million Arthur: Saraba Itoshi no Danchou, Hataraku Saibou: Necchuushou - Moshimo Pocari Sweat ga Attara"
Azur Lane Recap,nan,Special,1,"Aksi, Militer","Recap of the first six episodes of Azur Lane narrated by Enterprise.
",,"Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future, Choukadou Girl ⅙: Nona Video Nikki, One Punch Man 2nd Season Commemorative Special, Assassins Pride, Sword Art Online: Alicization - War of Underworld Recap, Kandagawa Jet Girls: Koko kara Hajimaru Tokyo Girls Promotion, Cop Craft: Utsukushiki Onna Kishi! Toraware no Yousei wo Oe!, Nakanohito Genome [Jikkyouchuu]: Knots of Memories, Nekopara: Koneko no Hi no Yakusoku, Hangyakusei Million Arthur: Saraba Itoshi no Danchou, Isekai Quartet Relay PV, Date A Bullet: Dead or Bullet, 22/7: 8＋3=?, Fire Emblem Heroes Book III Movie：Cohort of the Dead, Z/X: Code Reunion, Mahou Shoujo Site Recaps"
Lupin III: Prison of the Past,nan,Special,1,"Aksi, Pemeran Dewasa, Seinen","The episode focuses on Lupin's gang descending upon the Kingdom of Dorrente in order to rescue a famous thief who has been detained. While this takes place, the most notorious thieves from around the world gather in the kingdom.

(Source: MAL News)","Lupin III, Arsene; Jigen, Daisuke; Mine, Fujiko; Ishikawa XIII, Goemon; Zenigata, Kouichi; Yatagarasu, Gorou; Dynamite Joe; Announcer; Scarlthos; Berthe","The☆Doraemons: Dokidoki Kikansha Daibakusou!, Lupin III vs. Detective Conan: The Movie, Curry Meshi x Zombieland Saga, Lupin III: Babylon no Ougon Densetsu, Lupin III: $1 Money Wars, Man with a Mission The Animation, Ginga Tetsudou 999: Shounen no Tabidachi to Wakare, Lupin III: Seven Days Rhapsody, Lupin III: Chi no Kokuin - Eien no Mermaid, Lupin III (2015): Italian Game, Lupin the Third x Monkey Majik, Lupin III: Dead or Alive, Lupin III: Princess of the Breeze - Kakusareta Kuuchuu Toshi, , Code Geass: Fukkatsu no Lelouch Picture Drama, Mashin Eiyuuden Wataru: Shichikon no Ryuujinmaru"
Hangyakusei Million Arthur: Saraba Itoshi no Danchou,nan,Special,1,Aksi,Unaired episode bundled with the sixth Blu-ray volume of the Hangyakusei Million Arthur anime series.,Danchou Arthur,"Sakkai Eightraid, Beyond Creation, Hangyakusei Million Arthur PV, #Compass, Azur Lane Recap, Sora no Method: Mou Hitotsu no Negai, Etotama: Nyankyaku Banrai, Bokura no Nanokakan Sensou, Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka? Namiuchigiwa no Okaasan wa Suki Desu ka?, Kairisei Million Arthur, Radiant 2nd Season, Gochuumon wa Usagi Desu ka?? Sing for You, The iDOLM@STER SideM: Wake Atte Mini! - Shoshi Kantetsu Daisouji!, Märchen Mädchen Specials, Senjuushi: Kijuushi-tachi no Happy Birthday!, Null Peta"
Senki Zesshou Symphogear XV: Senki Zesshou Shinai Symphogear,nan,Special,4,"Komedi, Idola (Wanita)",Original short episodes featuring characters in super-deformed style. Bundled with Blu-ray/DVD volumes 3 to 6 of the anime.,"Yukine, Chris; Tachibana, Hibiki; Kazanari, Tsubasa; Akatsuki, Kirika; Cadenzavna Eve, Maria; Tsukuyomi, Shirabe; Kohinata, Miku; Malus Dienheim, Carol; Elfnein; Bete, Elsa","Youkai Watch Jam: Youkai Gakuen Y - N to no Souguu, Show By Rock!! Mashumairesh!!, Ano Hi no Kokoro wo Toraete, Koisuru Asteroid: KiraKira Zoukan-gou, Sagashimono (ONA), Haishin Yuusha, Ni Zai Xing Guang Shen Chu, Null Peta: Doki♥ Nurunuru Petapeta! Mizugi-darake no Oneechan Taikai!, Precure All Stars Movie: Minna de Utau♪ - Kiseki no Mahou, Osu no Buu-chan, Heya Camp△, Deluxe Da yo! Kaishain, Senki Zesshou Symphogear GX: Senki Zesshou Shinai Symphogear, Code Geass: Fukkatsu no Lelouch Picture Drama, Ni Zhuan Ci Yuan: AI Jue Qi, Granblue Fantasy The Animation Season 2 Extras"
Kandagawa Jet Girls Recap,nan,Special,1,"Ecchi, Balapan",Recap of the first four episodes of Kandagawa Jet Girls.,"Aoi, Misa; Namiki, Rin; Narrator; Rin's Father","Santa Company: Christmas no Himitsu, number24 Recap, Kono Yo no Hate de Koi wo Utau Shoujo YU-NO Recap, Cop Craft: Utsukushiki Onna Kishi! Toraware no Yousei wo Oe!, Hangyakusei Million Arthur: Saraba Itoshi no Danchou, Hangyakusei Million Arthur PV, Null Peta: Doki♥ Nurunuru Petapeta! Mizugi-darake no Oneechan Taikai!, Ano Hi no Kokoro wo Toraete, Rifle Is Beautiful, Ikkitousen: Xtreme Xecutor Specials, Phantasy Star Online 2: Episode Oracle - Xiao's Report, The iDOLM@STER Cinderella Girls: Spin-off!, Houkago Saikoro Club, Kiitarou Shounen no Youkai Enikki: Jonan no Saijitsu, Sora no Method: Mou Hitotsu no Negai, Terrace House x Craft Boss"
Dumbbell Nan Kilo Moteru?: Silverman-Gym Oni Tore Kouza,nan,Special,2,Komedi,"Specials included on the DVD/Blu-ray on disc 3 and 4, respectively.","Machio, Naruzou; Sakura, Hibiki; Souryuuin, Akemi; Boyd, Gina; Uehara, Ayaka; Tachibana, Satomi","Dumbbell Nan Kilo Moteru?, Hakkoutai Solar Cycle, Miru Tights: Cosplay Satsuei Tights, Id:Indeed, 30-pun de Wakaru! Love Live! Superstar!!, Ore wo Suki nano wa Omae dake ka yo: Ore wa Teinei ni Susumeru, Darwin's Game: Log Line, Latina no Nikki, Dragon Ball Z: The Real 4-D at Super Tenkaichi Budokai, Live Beyond!!, Ganbare Douki-chan: Kakusa Shakai ni Nayamu Kaisha no Douki, Planetarium Pokemon: Aurora kara no Message, Kandagawa Jet Girls: Koko kara Hajimaru Tokyo Girls Promotion, Snickers x Shingeki no Kyojin, Toaru Kagaku no Railgun T: Motto Marutto Railgun, Red Shoes"
Snickers x Shingeki no Kyojin,nan,Special,2,Komedi,"The campaign's concept is ""Attack Celebrity"" (or ""Attack on Celebrity""), where the production team from the Attack on Titan anime series super imposes titan versions of Japanese celebrities into cuts from the anime series and changes the blades into Snickers bars.

(Source: Crunchyroll)",,"Sekikashita Kusanagi, Schick x Evangelion, Pepsi Nex x 009 Re:Cyborg, Shingeki no Kyojin Season 3 Specials, Oishi-sa Hajikeru! One Piece, Evangelion Shito, Hakata Shuurai, Ayanami Rei, Hajimete no Kuchibeni, 7-fun de Wakaru: Boku no Hero Academia, Perfect Sekai, Ponkotsuland Saga, Shingeki no Kyojin: Lost Girls, Shingeki no Kyojin in the Dome: Heishi-tachi no Hoshizora, Attack Zero x Evangelion, Candy Caries, Cinderella, Nadame Sukashi Negotiation"
Rifle Is Beautiful: Zengoku Daikai Is Mokuzen,nan,Special,1,"Komedi, CGDCT",Recap of the first seven episodes of Rifle Is Beautiful.,,"Arifureta Shokugyou de Sekai Saikyou Specials, Strike Witches: 501 Butai Hasshin Shimasu! Movie, Bokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to [X] Suru, Haishin Yuusha, Tamayomi, Adachi to Shimamura Mini Anime, Shiohi Girls: Vongole Bianco, Hachigatsu no Cinderella Nine, Koisuru Asteroid: KiraKira Zoukan-gou, Hataraku Saibou: Necchuushou - Moshimo Pocari Sweat ga Attara, Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!, Cop Craft: Utsukushiki Onna Kishi! Toraware no Yousei wo Oe!, Minami Kamakura Koukou Joshi Jitenshabu: Kita yo, Taiwan!, Hataage! Kemono Michi, Mayonaka no Occult Koumuin OVA, Arifureta Shokugyou de Sekai Saikyou Recap"
Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana Recap,nan,Special,1,"Aksi, Detektif",Recap of first eight episodes of Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana.,,"Lupin III: Prison of the Past, Kabukichou Sherlock, Null Peta: Doki♥ Nurunuru Petapeta! Mizugi-darake no Oneechan Taikai!, Curry Meshi x Zombieland Saga, Kandagawa Jet Girls: Koko kara Hajimaru Tokyo Girls Promotion, Show By Rock!! Mashumairesh!!, The iDOLM@STER Cinderella Girls: Spin-off!, Kyochuu Rettou Movie, No Guns Life 2nd Season, Code:Realize - Sousei no Himegimi - Set a Thief to Catch a Thief, Kono Yo no Hate de Koi wo Utau Shoujo YU-NO Recap, Toaru Kagaku no Accelerator: Tobidase Ippou-san - Hachamecha Kaishingeki, Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana OVA, Psycho-Pass 3: First Inspector, Cardfight!! Vanguard: Shinemon-hen, Chuubyou Gekihatsu Boy: Otoko ni Umareta Shukumei Dakara"
Osomatsu-san Movie: Zensetsu Gekijou,nan,Special,6,"Komedi, Parodi",Osomatsu-san Movie DVD/BD specials. In it the boys break the fourth wall worrying about their own film being released.,"Matsuno, Ichimatsu; Matsuno, Karamatsu; Matsuno, Juushimatsu; Matsuno, Osomatsu; Matsuno, Choromatsu; Matsuno, Todomatsu","Matsumotokiyoshi x Osomatsu-san, Mobile Suit Gundam: Hikaru Inochi Chronicle U.C., Osomatsu-san, Chihayafuru 3: Ima Hitotabi no, Hashire! Osomatsu-san, Dennou Senshi Dokan-kun: Champ Dokan, Null Peta: Doki♥ Nurunuru Petapeta! Mizugi-darake no Oneechan Taikai!, All-Free kono Natsu Ichioshi Monogatari Campaign Kokuchi Douga, Osomatsu-san: Hipipo-Zoku to Kagayaku Kajitsu, Tokyo Girls Collection 2016 A/W x Osomatsu-san Special Movie, Kiss of Life, Newsong, Lupin III: Prison of the Past, Bakabon Osomatsu no Karee wo Tazunete Sansenri, Osomatsu-san 3rd Season, Osomatsu-kun: Iyami wa Hitori Kaze no Naka"
Phantasy Star Online 2: Episode Oracle - Xiao's Report,nan,Special,1,"Aksi, Ruang","Recap of first twelve episodes of Phantasy Star Online 2: Episode Oracle, reported by Xiao.",Io,"Ni Zai Xing Guang Shen Chu, Gundam Build Divers Re:Rise 2nd Season, Aishen Qiaokeli-ing: Wanjie Jinian, Ensemble Stars! Recap Special, Fire Emblem Heroes Book III Movie：Cohort of the Dead, Jigoku Shoujo Recap, Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Recap, Ba La La Xiao Mo Xian Zhi: Mofa Hai Ying Bao, Hikaru no Go Recaps, Curry Meshi x Zombieland Saga, Azur Lane: Bisoku Zenshin!, The iDOLM@STER Cinderella Girls: Spin-off!, Null Peta: Doki♥ Nurunuru Petapeta! Mizugi-darake no Oneechan Taikai!, Kandagawa Jet Girls Recap, Tales of the Rays: Everlasting Destiny, Heavy Object: Dai 37 Kidou Seihi Daitai - Sakusen Kiroku"
